"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo"
"CS","CZ-NACE_2025_U5",6105,"11010","Destilace, rektifikace a míchaní lihovin","Destilace, rektifikace a míchaní lihovin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"11020","Výroba vína z vinných hroznů","Výroba vína z vinných hroznů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"11030","Výroba ciderů a jiných kvašených ovocných nápojů","Výroba ciderů a jiných kvašených ovocných nápojů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"11040","Výroba ostatních nedestilovaných kvašených nápojů","Výroba ostatních nedestilovaných kvašených nápojů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"11050","Výroba piva","Výroba piva","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"11060","Výroba sladu","Výroba sladu","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"11070","Výroba nealkoholických nápojů a balených vod","Výroba nealkoholických nápojů a balených vod","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"12000","Výroba tabákových výrobků","Výroba tabákových výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13100","Úprava a spřádání textilních vláken a příze","Úprava a spřádání textilních vláken a příze","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13200","Tkaní textilií","Tkaní textilií","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13300","Konečná úprava textilií","Konečná úprava textilií","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13910","Výroba pletených a háčkovaných textilií","Výroba pletených a háčkovaných textilií","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13920","Výroba bytového textilu a konfekčních bytových textilií","Výroba bytového textilu a konfekčních bytových textilií","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13930","Výroba koberců a kobercových předložek","Výroba koberců a kobercových předložek","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13940","Výroba lan, provazů a síťovaných výrobků","Výroba lan, provazů a síťovaných výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13950","Výroba netkaných textilií a výrobků z nich","Výroba netkaných textilií a výrobků z nich","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13960","Výroba ostatních technických a průmyslových textilií","Výroba ostatních technických a průmyslových textilií","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"13990","Výroba ostatních textilií j. n.","Výroba ostatních textilií j. n.","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"14101","Výroba pletených a háčkovaných punčochových výrobků","Výroba pletených a háčkovaných punčochových výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"14109","Výroba ostatních pletených a háčkovaných oděvů","Výroba ostatních pletených a háčkovaných oděvů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"14210","Výroba svrchních oděvů","Výroba svrchních oděvů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"14220","Výroba osobního prádla","Výroba osobního prádla","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"14230","Výroba pracovních oděvů","Výroba pracovních oděvů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"14240","Výroba kožených oděvů a kožešinových výrobků","Výroba kožených oděvů a kožešinových výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"14290","Výroba ostatních oděvů a oděvních doplňků j. n.","Výroba ostatních oděvů a oděvních doplňků j. n.","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"15110","Činění, úprava, barvení usní a kožešin","Činění, úprava, barvení usní a kožešin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"15120","Výroba zavazadel, kabelek, sedlářských a řemenářských výrobk","Výroba zavazadel, kabelek, sedlářských a řemenářských výrobků z jakýchkoli materiálů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"15201","Výroba obuvi s usňovým svrškem","Výroba obuvi s usňovým svrškem","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"15209","Výroba ostatní obuvi","Výroba ostatní obuvi","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16110","Pilařská výroba","Pilařská výroba","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16120","Zpracování a konečná úprava dřeva","Zpracování a konečná úprava dřeva","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16210","Výroba dýh a desek na bázi dřeva","Výroba dýh a desek na bázi dřeva","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16220","Výroba sestavených parketových podlah","Výroba sestavených parketových podlah","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16230","Výroba ostatních výrobků stavebního truhlářství a tesařství","Výroba ostatních výrobků stavebního truhlářství a tesařství","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16240","Výroba dřevěných obalů","Výroba dřevěných obalů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16250","Výroba dřevěných dveří a oken","Výroba dřevěných dveří a oken","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16260","Výroba pevných paliv z rostlinné biomasy","Výroba pevných paliv z rostlinné biomasy","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16270","Konečná úprava dřevěných výrobků","Konečná úprava dřevěných výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"16280","Výroba ostatních dřevěných, korkových, proutěných a slaměnýc","Výroba ostatních dřevěných, korkových, proutěných a slaměných výrobků","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"17111","Výroba chemických buničin","Výroba chemických buničin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"17112","Výroba mechanických vláknin","Výroba mechanických vláknin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"17119","Výroba ostatních papírenských vláknin","Výroba ostatních papírenských vláknin","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"17120","Výroba papíru a lepenky","Výroba papíru a lepenky","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"17210","Výroba vlnitého papíru a lepenky, papírových a lepenkových o","Výroba vlnitého papíru a lepenky, papírových a lepenkových obalů","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"17220","Výroba domácích potřeb, hygienických a toaletních výrobků z","Výroba domácích potřeb, hygienických a toaletních výrobků z papíru","2025-01-01","9999-09-09"
"CS","CZ-NACE_2025_U5",6105,"17230","Výroba kancelářských potřeb z papíru","Výroba kancelářských potřeb z papíru","2025-01-01","9999-09-09"
